117.053690	37.142118	74.391087	127.014236	339	152	265	352	18	14	6	22	10	15	19	3	1	8	326	127	241	372	
297.476510	105.558283	205.508119	374.021408	372	183	256	365	87	97	31	77	40	113	81	13	12	113	595	215	356	805	
443.887358	150.597268	277.652782	673.691847	361	167	288	402	219	137	53	137	56	162	179	68	32	221	779	260	458	1143	
553.283007	145.461123	294.233958	920.379061	356	164	268	398	325	169	115	109	91	204	205	70	31	299	846	270	462	1418	
616.836129	187.705944	301.518386	1055.954640	382	182	253	366	323	185	132	107	84	191	236	93	47	358	956	306	487	1533	
659.982270	160.391820	310.690408	1115.013233	340	146	255	343	397	179	131	111	106	212	225	89	54	431	945	299	478	1579	
688.662018	176.145987	297.756063	1152.648664	340	171	271	367	398	195	152	88	122	196	247	95	66	456	939	325	497	1561	
604.316498	178.037857	316.720559	1213.997014	347	149	288	362	394	213	145	95	116	212	226	100	52	446	905	334	509	1619	
629.012896	196.956006	300.936867	1219.754957	348	171	272	375	374	173	163	121	112	219	236	109	58	496	942	330	508	1608	
666.042317	196.172436	307.833716	1214.034282	392	190	248	363	385	210	168	133	101	215	260	110	76	401	999	329	516	1682	
910.403659	276.090118	401.663998	1487.707977	797	402	535	1005	404	202	170	162	139	245	298	126	92	465	1488	525	759	2315	
1232.545323	443.835884	640.328613	2146.247030	784	409	535	974	468	273	265	181	164	293	321	148	99	626	1852	636	936	2842	
1509.165432	515.732854	722.395110	2694.305689	733	413	542	969	594	325	306	167	241	327	424	175	124	627	2090	751	1034	3280	
1815.123187	577.528232	788.001931	3217.512265	765	402	502	995	637	318	341	215	251	383	458	158	117	764	2358	755	1019	3694	
2115.095364	601.332729	876.475385	3517.817780	808	353	541	993	692	354	309	211	228	339	474	205	126	729	2594	793	1119	4057	
2287.307120	693.975508	922.675527	3979.733808	739	384	538	980	756	305	350	181	269	356	467	199	128	793	2739	845	1160	4292	
2448.839726	737.964028	1042.130829	3954.655185	737	441	563	936	758	331	366	234	234	358	497	212	114	968	2884	898	1245	4360	
2565.877703	755.537780	1054.109342	4203.161695	806	375	528	928	731	355	391	227	242	360	470	212	118	954	3074	867	1289	4476	
2751.174112	700.102736	1164.681853	4298.705762	686	390	531	997	751	411	334	223	245	364	494	213	152	921	3092	913	1363	4691	
2739.551290	840.265360	1171.239766	4488.800717	721	387	520	954	716	394	346	242	257	440	535	244	146	840	3238	956	1332	4956	
2841.573663	948.497905	1164.335446	4507.915579	768	356	536	910	792	405	340	204	286	384	464	226	168	950	3273	994	1366	5051	
2815.261482	944.124114	1217.423463	4855.908341	747	355	517	978	803	440	362	221	269	384	445	247	143	947	3222	1013	1373	5292	
2880.331625	916.742722	1264.831697	5106.743521	779	405	533	931	774	437	386	220	246	394	507	251	141	937	3297	1063	1407	5438	
2874.642640	909.409598	1299.678374	5342.467823	749	356	525	946	883	414	410	223	254	389	572	227	152	871	3321	1013	1441	5588	
